layer,0.0000,0.0200,0.0400,0.0600,0.0800,0.1000,0.2000
0,0.0,0.036779,0.024642,0.020491,0.018278,0.016757,0.069825
1,0.0,0.029863,0.020097,0.017169,0.015439,0.01421,0.059719
2,0.0,0.034012,0.022364,0.018672,0.016715,0.015328,0.06389
3,0.0,0.029338,0.018716,0.015728,0.014017,0.012872,0.054156
4,0.0,0.023522,0.014734,0.012717,0.011548,0.010889,0.046144
5,0.0,0.023329,0.015117,0.013143,0.012048,0.011154,0.046619
6,0.0,0.021658,0.013651,0.012064,0.010949,0.010141,0.043445
7,0.0,0.019805,0.013178,0.011399,0.010463,0.00975,0.042145
8,0.0,0.018647,0.012995,0.011514,0.010502,0.009757,0.042114
9,0.0,0.01816,0.012202,0.010693,0.009943,0.009273,0.040777
10,0.0,0.01786,0.012786,0.011183,0.010251,0.009656,0.042562
11,0.0,0.017157,0.012199,0.010933,0.010156,0.009515,0.041829
12,0.0,0.017629,0.012264,0.010908,0.010049,0.009385,0.041177
13,0.0,0.016584,0.011897,0.010569,0.009994,0.009426,0.041576
14,0.0,0.018215,0.01204,0.010923,0.00997,0.00913,0.039955
15,0.0,0.017809,0.012717,0.011129,0.010242,0.00961,0.041549
16,0.0,0.016737,0.01166,0.010413,0.00964,0.009184,0.039889
17,0.0,0.017995,0.012614,0.010891,0.009897,0.009194,0.04011
18,0.0,0.017607,0.012758,0.011201,0.010271,0.009597,0.042117
19,0.0,0.01861,0.012963,0.011474,0.010552,0.009993,0.043966
20,0.0,0.019244,0.013848,0.012033,0.01106,0.010326,0.04418
21,0.0,0.021582,0.015745,0.013655,0.012395,0.01141,0.048657
