layer,0.0000,0.0200,0.0400,0.0600,0.0800,0.1000,0.2000
0,0.0,0.074122,0.047965,0.040778,0.036593,0.034441,0.141291
1,0.0,0.044121,0.030513,0.026657,0.023865,0.022529,0.095067
2,0.0,0.04972,0.033703,0.028826,0.025461,0.023561,0.099194
3,0.0,0.049151,0.033386,0.028645,0.025743,0.024107,0.103053
4,0.0,0.05216,0.03476,0.029496,0.026332,0.024858,0.105796
5,0.0,0.0509,0.03419,0.029016,0.02599,0.024342,0.102489
6,0.0,0.063445,0.040711,0.034559,0.030994,0.028845,0.119209
7,0.0,0.057026,0.03743,0.031742,0.028321,0.026494,0.110944
8,0.0,0.046021,0.031019,0.026818,0.02399,0.022343,0.09535
9,0.0,0.040035,0.028035,0.024089,0.021413,0.020386,0.087958
10,0.0,0.044152,0.029644,0.025134,0.022529,0.021369,0.09149
11,0.0,0.048162,0.032234,0.027443,0.024594,0.022976,0.097506
12,0.0,0.044198,0.030234,0.026063,0.023129,0.02178,0.093021
13,0.0,0.041107,0.027771,0.023635,0.021217,0.020121,0.087035
14,0.0,0.040586,0.027578,0.024003,0.021655,0.020265,0.087441
15,0.0,0.042645,0.028298,0.025299,0.022799,0.021373,0.090876
16,0.0,0.042848,0.029314,0.025157,0.022696,0.021252,0.090424
17,0.0,0.044396,0.030021,0.026352,0.023633,0.022083,0.093873
18,0.0,0.044276,0.030101,0.026543,0.023725,0.022198,0.09472
19,0.0,0.044575,0.030757,0.026774,0.024001,0.022243,0.095529
20,0.0,0.048016,0.030086,0.026127,0.023594,0.022317,0.094882
21,0.0,0.047945,0.030476,0.026073,0.023604,0.022287,0.095148
22,0.0,0.051596,0.030634,0.0269,0.024142,0.022854,0.096682
23,0.0,0.10052,0.033793,0.028575,0.025593,0.023645,0.098636
24,0.0,0.100763,0.038086,0.031822,0.028057,0.025881,0.107053
25,0.0,0.215346,0.04626,0.035354,0.030992,0.028885,0.121422
26,0.0,0.230849,0.049932,0.038922,0.033534,0.030951,0.128538
27,0.0,0.627778,0.096957,0.076045,0.066445,0.061267,0.248724
