variant,fp_ratio,ppl
fp16,,6.5810699462890625
int8_ptq,0.0,6.588685035705566
sadnd,0.06,6.585901260375977
qlot_dc_plus,0.06,6.585221290588379
sadnd,0.1,6.585816383361816
qlot_dc_plus,0.1,6.585507869720459
sadnd,0.2,6.584866046905518
qlot_dc_plus,0.2,6.585293769836426
