variant,ppl,selected_fp_ratio,seconds
int8_ptq,8.831304550170898,0.0,181.4
sadnd,8.82944393157959,0.06,146.3
qlot_dc_median,8.82702350616455,0.06,101.4
qlot_dc_biascorr,8.826688766479492,0.06,104.6
qlot_dc_output_aware,8.824529647827148,0.06,103.8
qlot_dc_adaptive_fp,8.825159072875977,0.2,857.9
qlot_dc_biascorr_adaptive_fp,8.823555946350098,0.04,826.6
qlot_dc_lowrank_r2,8.835853576660156,0.06,133.7
qlot_dc_lowrank_r4,8.835912704467773,0.06,141.1
